Question,A,B,C,Correct answer
Αν κατά τη διάρκεια του ταξιδιού ο καιρός αγριεύει ο χειριστής:,Ζητά από τους επιβάτες να φορέσουν τα σωσίβια.,Ρωτά τους επιβαίνοντες τι πρέπει να κάνει.,Αυξάνει στο φούλ την ταχύτητα για να γυρίσει στο λιμάνι.,A
Προσήνεμη πλευρά (Σοφράνο) είναι:,Η πλευρά του σκάφους που βρίσκεται προς τον άνεμο.,Η αντίθετη από την κατεύθυνση που φυσά ο άνεμος.,Κανένα από τα παραπάνω.,A
Σε περίπτωση που ο χειριστής ταχυπλόου γίνει υπαίτιος ατυχήματος οφείλει:,Να παραμείνει στο τόπο του ατυχήματος και να δώσει βοήθεια.,Να προσέλθει άμεσα στην Λιμενική Αρχή αναφέροντας το ατύχημα.,"Να παραμείνει στο τόπο του ατυχήματος, να παράσχει κάθε δύναμη βοήθεια και να ειδοποιήσει τη Λιμενική Αρχή.",C
Αν παρουσιασθεί κάποιο πρόβλημα και το σκάφος στο οποίο έχουμε VHF ή ραδιοτηλέφωνο περιέλθει σε κατάσταση ανάγκης ή κίνδυνο:,"Αναφέρουμε αμέσως στην πλησιέστερη Λιμενική Αρχή (κανάλι 16) την κατάσταση του σκάφους, το είδος κινδυνου, την θέση μας και τις προθέσεις μας.","Αναφέρουμε αμέσως στο ΕΛΛΑΣ ΡΑΔΙΟ την κατάσταση του σκάφους, το είδος κινδύνου, τη θέση μας και τις προθέσεις μας.","Αναφέρουμε αμέσως στην πλησιέστερη Λιμενική Αρχή ή στο ΕΛΛΑΣ ΡΑΔΙΟ (κανάλι 16) την κατάσταση του σκάφους, το είδος κινδύνου, τη θέση μας και τις προθέσεις μας.",C
Πριν τον απόπλου βεβαιωνόμαστε:,Ότι στο σκάφος δεν υπάρχουν καύσιμα εκτός ρεζερβουάρ και έτσι δεν υπάρχει κίνδυνος πυρκαγιάς.,Ότι έχουμε και επιπλέον καύσιμα στο σκάφος σε εφεδρικό ρεζερβουάρ.,Κανένα από τα α και β.,B
Η απόσταση (Ν.Μ) μετριέται:,Μόνο στην κλίμακα του μήκους.,Μόνο στην κλίμακα του πλάτους.,Στο ανεμολόγιο του χάρτη.,B
Οι φάροι ή τα φανάρια χρησιμεύουν:,Για να προσανατολίζουν και να καθοδηγούν με ασφάλεια τους ναυτιλλόμενους κατά τη νύχτα.,"Για τη σήμανση διαύλων, ναυαγίων, αβαθών κτλ.",Για άλλους λόγους.,A
Στους δίχρονους εξωλέμβιους κινητήρες πρέπει:,Να βάζουμε περισσότερο λάδι για να μη μπουκώνει η μηχανή.,Να βάζουμε λιγότερο λάδι ώστε να μη μπουκώνει η μηχανή.,Η αναλογία λαδιού – βενζίνης να είναι η προβλεπόμενη από τον κατασκευαστή.,C
"Στην κλίμακα έντασης ανέμου 6 μποφόρ, η θάλασσα είναι:",Ταραγμένη.,Κυματώδης.,Τρικυμιώδης.,B
Η χρήση των φωτιστικών σημάτων κινδύνου γίνεται:,Από την υπήνεμη πλευρά του σκάφους.,Από την προσήνεμη πλευρά του σκάφους.,Από την πλώρη του σκάφους.,A
Κάθε ακυβέρνητο πλοίο οφείλει κατά τη νύχτα να δείχνει:,Δύο κόκκινους ορατούς σε όλο τον ορίζοντα και έναν φανό.,Δύο κόκκινους ορατούς σε όλο τον ορίζοντα και εφ’όσον κινείται από τον άνεμο σύο πλευρικούς.,Σύο κόκκινους ορατούς σε όλο τον ορίζοντα και εφ’όσον κινείται δύο πλευρικούς φανούς κορώνης.,C
Κάθε πλοίο ρυμουλκό που ρυμουλκεί κατά την ημέρα πρέπει να φέρει:,Ένα μαύρο ρόμβο σε περίβλεπτο σημείο μόνο αν το έκταμα του ρυμουλκού είναι πάνω από 200 μέτρα.,Ένα μαύρο ρόμβο σε κάθε περίπτωση.,Δύο κώνους με τις μύτες ενωμένες.,A
Ένα μηχανοκίνητο πλοίο που ρυμουλκεί κατά τη νύχτα πρέπει να επιδεικνύει:,"Πλευρικούς φανούς, εφίστιο και φανό κορώνης.","Πλευρικούς φανούς, φανό κορώνης και ρυμούλκηση.","Δύο ή τρεις εφίστιους κατακόρυφους φανούς αν το έκταμα του ρυμουλκού είναι πάνω από 200 μέτρα, πλευρικούς, φανό κορώνης και ρυμούλκησης.",C
Ο αναλαμπών φανός (κίτρινος) χρησιμοποιείται:,Από όλα τα πλοία.,Από τα ταχύπλοα επιβατηγά.,Από όλα τα ταχύπλοα.,B
"Η κυκλοφορία των ταχύπλοων σκαφών, με εξαίρεση τα θαλάσσια μοτοποδήλατα και τα HOVER CRAFTS, απαγορεύεται:","Σε απόσταση μικρότερη των εκατό (100) μέτρων από το εξωτερικό μέρος των πλωτών σημαντήρων που επισημαίνουν τα όρια μέχρι τα οποία φθάνουν συνήθως κολυμπώντας οι λουόμενοι στις λουτρικές εγκαταστάσεις, σε απόσταση μικρότερη των διακοσίων (200) μέτρων από το συνηθισμένο σημείο στο οποίο φθάνουν κολυμπώντας οι λουόμενοι στις θαλάσσιες περιοχές που δεν επισημαίνονται με πλωτούς σημαντήρες και με ταχύτητα μεγαλύτερη των πέντε (05) κόμβων σε απόσταση μικρότερη των διακοσίων (200) μέτρων από την ακτογραμμή στις περιοχές που δεν υπάρχουν λουόμενοι.","Σε απόσταση μικρότερη των διακοσίων (200) μέτρων από το εξωτερικό μέρος των πλωτών σημαντήρων που επισημαίνουν τα όρια μέχρι τα οποία φθάνουν συνήθως κολυμπώντας οι λουόμενοι στις λουτρικές εγκαταστάσεις, σε απόσταση μικρότερη των τριακοσίων (300) μέτρων από το συνηθισμένο σημείο στο οποίο φθάνουν κολυμπώντας οι λουόμενοι στις θαλάσσιες περιοχές που δεν επισημαίνονται με πλωτούς σημαντήρες και με ταχύτητα μεγαλύτερη των πέντε (05) κόμβων σε απόσταση μικρότερη των πεντακοσίων (500) μέτρων από την ακτογραμμή στις περιοχές που δεν υπάρχουν λουόμενοι.",Σε απόσταση μικρότερη των εκατό (100) μέτρων από τους λουόμενους.,A
