Question,A,B,C,Correct answer
"Αν κατά τη διάρκεια του ταξιδιού ο καιρός αγριέψει, ο χειριστής:",Ζητά από τους επιβάτες να φορέσουν τα σωσίβια.,Ρωτά τους επιβαίνοντες τι πρέπει να κάνει.,Αυξάνει στο φουλ την ταχύτητα για να γυρίσει στο λιμάνι.,A
Προσήνεμη πλευρά (Σοφράνο) είναι:,Η πλευρά του σκάφους που βρίσκεται προς τον άνεμο.,Η αντίθετη από την κατεύθυνση που φυσά ο άνεμος.,Κανένα από τα παραπάνω a και b.,A
Σε περίπτωση που ο χειριστής ταχυπλόου γίνει υπαίτιος ατυχήματος οφείλει:,Να παραμείνει στον τόπο του ατυχήματος και να δώσει βοήθεια.,Να προσέλθει άμεσα στη Λιμενική Αρχή αναφέροντας το ατύχημα.,"Να παραμείνει στον τόπο του ατυχήματος, να παράσχει κάθε δυνατή βοήθεια και να ειδοποιήσει τη Λιμενική Αρχή.",C
Αν κινδυνεύουμε και έχουμε VHF ή ραδιοτηλέφωνο στο σκάφος;,"Ειδοποιούμε αμέσως το Λιμεναρχείο ή το ΕΛΛΑΣ ΡΑΔΙΟ στο κανάλι 16, δηλώνουμε το είδος του κινδύνου και τις προθέσεις μας.","Ειδοποιούμε αμέσως το Λιμεναρχείο ή το ΡΑΔΙΟ ΕΛΛΑΣ στο κανάλι 16, δηλώνουμε το είδος του κινδύνου, τη θέση μας και τις προθέσεις μας.","Ειδοποιούμε αμέσως το Λιμεναρχείο ή το ΡΑΔΙΟ ΕΛΛΑΣ στο κανάλι 12, δηλώνουμε το είδος του κινδύνου, τη θέση μας και τις προθέσεις μας.",B
Πριν τον απόπλου βεβαιωνόμαστε:,Ότι στο σκάφος δεν υπάρχουν καύσιμα εκτός ρεζερβουάρ και έτσι δεν υπάρχει κίνδυνος πυρκαγιάς.,Ότι έχουμε επιπλέον καύσιμα στο σκάφος.,Κανένα από τα a και b.,B
Η απόσταση μετριέται:,Μόνο στην κλίμακα του μήκους.,Μόνο στην κλίμακα του πλάτους.,Στο ανεμολόγιο του χάρτη.,B
Οι φάροι ή φανάρια χρησιμεύουν:,Για να προσανατολίζουν και να καθοδηγούν με ασφάλεια τους ναυτιλλομένους κατά τη νύχτα.,"Για τη σήμανση διαύλων, ναυαγίων, αβαθών κ.λ.π.",Για άλλους λόγους.,A
Στους δίχρονους εξωλέμβιους κινητήρες πρέπει:,Να βάζουμε περισσότερο λάδι για να έχουν καλύτερη λίπανση.,Να βάζουμε λιγότερο λάδι ώστε να μην μπουκώνει η μηχανή.,Η αναλογία λαδιού- βενζίνης να είναι η προβλεπόμενη από τον κατασκευαστή.,C
"Στην κλίμακα έντασης ανέμου 6 μποφόρ, η θάλασσα είναι:",Ταραγμένη.,Κυματώδης.,Τρικυμιώδης.,B
Η χρήση των φωτιστικών σημάτων κινδύνου γίνεται:,Από την υπήνεμη πλευρά του σκάφους.,Από την προσήνεμη πλευρά.,Από την πλώρη του σκάφους.,A
Κάθε ακυβέρνητο πλοίο οφείλει κατά τη νύχτα να δείχνει:,Δύο κόκκινους ορατούς σε όλο τον ορίζοντα και έναν εφίστιο φανό.,Δύο κόκκινους ορατούς σε όλο τον ορίζοντα και εφόσον κινείται από τον άνεμο και πλευρικούς.,Δύο κόκκινους ορατούς σε όλο τον ορίζοντα και εφόσον κινείται πλευρικούς φανούς και κορώνης.,C
Κάθε πλοίο ρυμουλκό που ρυμουλκεί κατά την ημέρα πρέπει να φέρει:,Ένα μαύρο ρόμβο σε περίβλεπτο σημείο μόνο αν το έκταμα του ρυμούλκιου είναι πάνω από 200 μέτρα.,Ένα μαύρο ρόμβο σε κάθε περίπτωση.,Δύο κώνους με τις μύτες ενωμένες.,A
Ένα μηχανοκίνητο πλοίο που ρυμουλκεί κατά τη νύχτα πρέπει να επιδεικνύει:,"Πλευρικούς φανούς, εφίστιο φανό και φανό κορώνης.","Πλευρικούς φανούς, φανό κορώνης και ρυμούλκησης.","Δύο ή τρεις (3) εφίστιους κατακόρυφους φανούς αν το έκταμα του ρυμουλκού είναι πάνω από 200 μέτρα, πλευρικούς, φανό κορώνης και ρυμούλκησης.",C
Ο αναλάμπων φανός (κίτρινος) χρησιμοποιείται:,Από όλα τα πλοία.,Από τα ταχύπλοα επιβατηγά.,Από όλα τα ταχύπλοα.,B
"Η κυκλοφορία των ταχυπλόων (μόνο) σκαφών, απαγορεύεται:",Σε απόσταση μικρότερη των 100 μέτρων από τους λουόμενους.,Σε απόσταση 200 μέτρων από σημαδούρες σε φυλασσόμενες πλαζ 300 μέτρων από το συνηθισμένο σημείο των λουομένων και 500 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων.,"Σε απόσταση 100 μέτρων από σημαδούρες σε φυλασσόμενες πλαζ, 200 μέτρων από το συνηθισμένο σημείο των λουομένων και 200 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων.",C
Ο Διεθνής Κανονισμός προς Αποφυγή Σύγκρουσης (Δ.Κ.Α.Σ.) στη θάλασσα ισχύει:,Σε όλα τα πλοία με εξαίρεση τα ελληνικά πολεμικά.,Σε όλα τα πλοία χωρίς εξαίρεση.,Σε όλα τα πλοία με εξαίρεση τα πολεμικά όλων των χωρών.,B
Ο όρος “εν πλω” σημαίνει ότι ένα πλοίο:,"Δεν είναι αγκυροβολημένο, προσαραγμένο ή προσδεμένο.","Είναι αγκυροβολημένο, προσαραγμένο ή προσδεμένο στην ακτή.",Κανένα από τα παραπάνω.,A
Οποιοσδήποτε χειρισμός αποφυγής γίνεται για να αποφευχθεί μία σύγκρουση πρέπει ανάλογα με τις συνθήκες της περίπτωσης:,Να είναι κατανοητός.,Να είναι αρκετά μεγάλος.,"Να είναι σαφής, σταθερός, ξεκάθαρος και να γίνεται έγκαιρα και σύμφωνα με τους κανόνες της Ναυτικής Τέχνης.",C
Όταν δύο πλοία διασταυρώνουν τις πορείες τους (μηχανοκίνητα) και υπάρχει κίνδυνος σύγκρουσης:,Και τα δύο πρέπει να στρίψουν δεξιά.,Το πλοίο που βλέπει το άλλο δεξιά οφείλει να απομακρύνεται από την πορεία του άλλου αποφεύγοντας να περάσει από την πλώρη του άλλου.,Το πλοίο που βλέπει το άλλο δεξιά οφείλει να χειρίσει δεξιά και το πλοίο που βλέπει το άλλο αριστερά να χειρίσει αριστερά.,B
Πλευρικοί φανοί ενός πλοίου είναι:,"Ένα πράσινο στην αριστερή και ένα κόκκινο στη δεξιά πλευρά του πλοίου που φωτίζουν τόξο 112,5 μοίρες.","Ένα πράσινο στη δεξιά και ένα κόκκινο στην αριστερή πλευρά του πλοίου που φωτίζουν τόξο 112,5 μοίρες.",Ένα κόκκινο στην αριστερή και ένα πράσινο στη δεξιά φωτίζοντας τόξο 225 μοίρες.,B
Ο αναλαμπών φανός χρησιμοποιείται:,Από τα ταχύπλοα επιβατηγά πλοία.,Από όλα τα ταχύπλοα πλοία.,Από όλα τα πλοία.,A
